(127.8199609375, 101.8323046875, 56.5162109375)
(47.3113671875, 34.75828125, 29.0558203125)
(57.97421875, 52.719765625, 53.95296875)
(217.4091015625, 180.5173828125, 93.49671875)
(64.0446484375, 76.0252734375, 90.113515625)
(83.4075390625, 72.8996484375, 71.095)
(199.40203125, 163.0264453125, 139.0568359375)
(91.41140625, 81.421171875, 82.2044921875)
(159.088984375, 191.0519921875, 177.1234375)
(147.035390625, 102.337109375, 76.5744921875)
(124.119296875, 116.33625, 108.5421875)
(133.4421875, 94.8171484375, 68.0561328125)
(184.808828125, 130.370625, 36.1964453125)
(158.90046875, 125.3592578125, 105.83390625)
(172.2475390625, 152.9712109375, 163.52203125)
(75.3216015625, 55.778828125, 48.354140625)
(176.0203125, 145.5305859375, 119.4238671875)
(50.891484375, 47.6236328125, 33.395078125)
(101.438671875, 128.6953125, 144.4386328125)
(224.410625, 137.916171875, 144.9812890625)
(172.593671875, 121.7852734375, 91.115078125)
(120.654921875, 122.2145703125, 122.2113671875)
(150.699921875, 157.3500390625, 176.7721484375)
(182.1087109375, 147.4917578125, 76.0182421875)
(213.188515625, 133.506796875, 67.0127734375)
(111.628125, 95.177109375, 87.3290234375)
(135.0005078125, 132.3119921875, 122.391796875)
(201.5562109375, 149.818671875, 110.5425390625)
(180.79328125, 146.8736328125, 123.474375)
(141.051484375, 95.0987890625, 81.9808984375)
(209.4712890625, 158.634140625, 161.2716796875)
(200.9268359375, 146.1631640625, 106.015546875)
(173.6259765625, 102.811875, 192.841015625)
(176.331640625, 162.5831640625, 147.7863671875)
(88.90921875, 78.640078125, 64.10046875)
(178.2211328125, 184.2391796875, 196.1880859375)
(143.5284765625, 139.5149609375, 79.2994140625)
(146.30734375, 128.2021875, 114.6284375)
(139.043984375, 86.9143359375, 52.80890625)
(130.5335546875, 89.4910546875, 85.6153515625)
(13.103203125, 41.32890625, 208.904765625)
(145.469921875, 135.62109375, 102.83296875)
(169.6846875, 188.313984375, 187.3098828125)
(86.13046875, 86.731484375, 86.357890625)
(79.692890625, 88.0220703125, 88.7075390625)
(185.5465625, 198.196484375, 184.6198046875)
(230.203671875, 189.6510546875, 155.6900390625)
(150.3863671875, 132.087578125, 118.189140625)
(230.8745703125, 165.29765625, 47.636640625)
(129.7758203125, 81.8447265625, 90.2602734375)
(157.082265625, 110.62875, 78.2605078125)
(175.7833984375, 106.9946484375, 194.5201953125)
(231.70140625, 166.0177734375, 47.69953125)
(197.425, 142.36734375, 65.660546875)
(157.8287109375, 113.575625, 122.1972265625)
(180.5980078125, 110.2464453125, 130.9901953125)
(126.6519921875, 123.2621484375, 120.7314453125)
(175.1701953125, 128.1670703125, 101.5767578125)
(157.7913671875, 138.8637109375, 63.4789453125)
(44.1814453125, 35.0473046875, 55.268671875)
(205.4406640625, 205.323984375, 206.3823828125)
(77.14953125, 70.5122265625, 78.3055078125)
(108.3916015625, 87.0402734375, 50.068203125)
(205.350625, 205.198125, 206.2923046875)
(197.42640625, 150.366875, 112.648828125)
(211.62921875, 164.776328125, 71.5746875)
(56.0913671875, 58.6909375, 58.8121875)
(205.345546875, 205.1898828125, 206.2443359375)
(188.9781640625, 129.1773828125, 77.500546875)
(99.541796875, 87.320234375, 68.7913671875)
(131.5255078125, 117.6937109375, 120.060234375)
(249.818984375, 171.7459375, 54.8551171875)
(149.0309375, 111.862109375, 79.848125)
(219.1400390625, 164.23296875, 170.0584375)
(215.3001171875, 198.632578125, 153.18203125)
(136.2473828125, 178.908203125, 221.537265625)
(137.3297265625, 177.5054296875, 168.167421875)
(120.913671875, 128.785078125, 141.76078125)
(185.3734375, 151.144609375, 144.3658984375)
(158.5962890625, 121.4601953125, 96.1855859375)
(93.9743359375, 77.9492578125, 78.87125)
(67.52625, 107.1827734375, 110.78203125)
(122.1984765625, 133.7418359375, 145.0229296875)
(194.9018359375, 177.24265625, 119.628828125)
(231.0493359375, 165.01828125, 47.176953125)
(189.6040625, 177.8725390625, 176.9453515625)
(192.0951171875, 165.52265625, 151.5137109375)
(201.1884375, 176.3256640625, 134.018125)
(176.9395703125, 177.9729296875, 141.189609375)
(102.328515625, 92.7937890625, 115.1067578125)
(135.996875, 159.4935546875, 151.6652734375)
(0.0, 0.0, 0.0)
(208.5316015625, 139.1687890625, 129.708203125)
(176.7353515625, 145.9565625, 62.36984375)
(98.9579296875, 64.688046875, 55.9920703125)
(74.563359375, 55.49953125, 47.4653125)
(88.32265625, 95.231875, 116.288125)
(50.0303515625, 172.661796875, 45.6341015625)
(137.8312890625, 63.7173828125, 152.790078125)
(81.1098828125, 80.996015625, 85.725234375)
(149.74953125, 121.1659765625, 111.6048828125)
(199.3204296875, 138.5001953125, 35.340546875)
(191.4751953125, 147.540625, 91.5791796875)
(236.491640625, 197.3671484375, 163.571640625)
(221.2269921875, 202.9094921875, 145.8284765625)
(121.3687109375, 111.9387890625, 102.18359375)
(146.0055859375, 110.26125, 87.8846484375)
(81.3291796875, 75.82984375, 75.2391015625)
(56.400625, 137.895703125, 224.5827734375)
(178.8410546875, 144.537734375, 98.863203125)
(175.0490234375, 151.6140625, 151.7398046875)
(74.3390234375, 93.0090234375, 112.785)
(134.8798046875, 159.5680859375, 182.293359375)
(138.839765625, 162.6791796875, 184.62140625)
(95.1829296875, 108.7211328125, 133.2184375)
(94.5400390625, 66.889765625, 50.14546875)
(107.9983203125, 108.6056640625, 111.3843359375)
(37.69640625, 75.141953125, 141.63234375)
(200.81609375, 162.040390625, 110.9681640625)
(165.11234375, 111.6202734375, 76.4585546875)
